givenVideo,comparedVideo,distance
--DwgB78t-c,--DwgB78t-c,0
--DwgB78t-c,7up68liKhsE,0
--DwgB78t-c,0e2NYho37DY,1
--DwgB78t-c,-T_vxCtsVC8,1
--DwgB78t-c,3RPjNRsj1RM,1
--DwgB78t-c,2NCeeLn-mwE,1
--DwgB78t-c,-CIXpUxML9E,1
--DwgB78t-c,4kIh2fCMUL8,1
--DwgB78t-c,R5qUjSxxKwE,1
--DwgB78t-c,5ijDMSHCeEY,1
--DwgB78t-c,3IZGY21xeWY,1
--DwgB78t-c,2s25GIgWYTk,1
--DwgB78t-c,12mhzIxW78o,1
--DwgB78t-c,4Txji0wz4KI,1
--DwgB78t-c,S93rSIyYHTI,1
--DwgB78t-c,7OSpvUOk6q4,1
--DwgB78t-c,43Hv910WY1Q,1
--DwgB78t-c,7p7J4-KNt_Q,1
--DwgB78t-c,58ePtxZxB9w,1
--DwgB78t-c,6EY4uVc6bww,1
--DwgB78t-c,ZUJ36qNy8R0,1
--DwgB78t-c,-0GPvJD09Hs,1
--DwgB78t-c,xdE2rchHLKg,1
--DwgB78t-c,16-v9h89X2c,1
--DwgB78t-c,2_DuiOJ9je4,2
--DwgB78t-c,QpFsObjsQT0,2
--DwgB78t-c,QuTCMK4LuW8,2
--DwgB78t-c,1u0_kMRtQsw,2
--DwgB78t-c,6hWlvIIwDS4,2
--DwgB78t-c,vM8euUYzzLs,2
--DwgB78t-c,2sR-4pFXkT0,2
--DwgB78t-c,R2hSgda91PU,2
--DwgB78t-c,8y-orrMoGQM,2
--DwgB78t-c,1doDaDZj0rw,2
--DwgB78t-c,0RjGIn5yrDc,2
--DwgB78t-c,Rt-svc1jPfs,2
--DwgB78t-c,4GhEdnb0IDI,2
--DwgB78t-c,2BTkLXsSwY4,2
--DwgB78t-c,rdupEgU_nO0,2
--DwgB78t-c,0dr_-Z9ZlQk,2
--DwgB78t-c,17YpItxJ7GU,2
--DwgB78t-c,R8PqWeNalEU,2
--DwgB78t-c,RAGcWBmXMFI,2
--DwgB78t-c,4YcvxIk3WIc,2
--DwgB78t-c,2VLADfu6Mog,2
--DwgB78t-c,Tp6VPLvp5Zw,2
--DwgB78t-c,T175rzfQMFY,2
--DwgB78t-c,xdQAh5-DVmU,2
--DwgB78t-c,uCy_-Gf0cNY,2
--DwgB78t-c,-m57XxNjIJY,2
--DwgB78t-c,1rszZ2Alg5A,2
--DwgB78t-c,URdfcjNJZ_0,2
--DwgB78t-c,27WMzn13mn8,2
--DwgB78t-c,3CzRli4pm8s,2
--DwgB78t-c,uGqg1iY917A,2
--DwgB78t-c,5aVXcMkuj4c,2
--DwgB78t-c,4nSjdqCxiOc,2
--DwgB78t-c,XzZmCBvMO40,2
--DwgB78t-c,7lITDaK1N7A,2
--DwgB78t-c,1jMjcUuT61M,2
--DwgB78t-c,0ZCWoZ8eIiU,2
--DwgB78t-c,0hvu-U_PumM,2
--DwgB78t-c,1YRqKL3LrqI,2
--DwgB78t-c,1YvFEQFPzFc,2
--DwgB78t-c,uSC960X_cl4,2
--DwgB78t-c,1mvlHQJTTA8,2
--DwgB78t-c,4j14slktr7E,2
--DwgB78t-c,uX3-r4hGAZ8,2
--DwgB78t-c,Ws2xBHVHLtU,2
--DwgB78t-c,83RaAA15nq0,2
--DwgB78t-c,0Suib4cq67s,2
--DwgB78t-c,2N8bg1qPuAE,2
--DwgB78t-c,8roUXiqTNmE,2
--DwgB78t-c,-wZY0Uvmu1M,2
--DwgB78t-c,VJn5TM8_B4c,2
--DwgB78t-c,6M4pLCUD7K0,2
--DwgB78t-c,2EXm3lUXT3o,2
--DwgB78t-c,ZPmL5JA3wjs,2
--DwgB78t-c,4IwnqlZYSLc,2
--DwgB78t-c,ZPmL5JA3wjs,2
--DwgB78t-c,2BsSHDjrxLQ,2
--DwgB78t-c,V_4gDme3g8I,2
--DwgB78t-c,5XwA97PKnWg,2
--DwgB78t-c,T446EB1SKPk,3
--DwgB78t-c,Yc6MEMw-B5k,3
--DwgB78t-c,2g9F8Op_JTw,3
--DwgB78t-c,R7J5uwfQ6m4,3
--DwgB78t-c,1XietyQEWGg,3
--DwgB78t-c,2gXpF0ods8M,3
--DwgB78t-c,-7msr1OQ2LM,3
--DwgB78t-c,Yc6MEMw-B5k,3
--DwgB78t-c,3Ig9OjxC6wM,3
--DwgB78t-c,4kDEY54a058,3
--DwgB78t-c,xHzBXM-U-yo,3
--DwgB78t-c,5Bnu_CrOFig,3
--DwgB78t-c,V9Swvv8tt80,3
--DwgB78t-c,0KAwseKtN2w,3
--DwgB78t-c,R4KbKYXac_U,3
--DwgB78t-c,3Ikqt5zzeII,3
--DwgB78t-c,5QhUJPwDTjs,3
--DwgB78t-c,Xacd6ONmucU,3
--DwgB78t-c,S1meA5464p8,3
--DwgB78t-c,1d_ziBSH-lo,3
--DwgB78t-c,8IMe0b7a1iU,3
--DwgB78t-c,2P8nlZFCr8Y,3
--DwgB78t-c,5ZyuBz25WsE,3
--DwgB78t-c,3WICaWscDCQ,3
--DwgB78t-c,1FOAkcGumP8,3
